threads,CoarseGrained ,HoH,Lazy
1,338481.555333998,1627471.08673978,6599019.92031873
4,206095.52238806,566236.200895077,9371722.13967311
6,81194.4444444444,742212.797619048,13362224.0356083
8,79604.6511627907,893036.156513125,16056500.7414731
10,76017.8129638793,908883.399209486,17000059.2007893
12,76734.6837944664,1053683.45679012,15664348.1262327
