threads,throughput0,throughput10,throughput100
1,7679558.04683607,7326008.47457627,5789177.29083665
4,4025597.31209557,3262630.84577114,2585376.11940299
6,1203561.72533466,1049227.18253968,926915.716410511
8,1305724.53016815,1000020.28698664,879773.155027241
10,1282124.13452028,997120.672601385,867547.207118141
12,1122683.51440718,940704.197530864,707478.497281265
