threads,throughput0,throughput10,throughput100
1,1778852.94117647,1627471.08673978,1583911.76470588
4,294920.01987084,566236.200895077,536162.444113264
6,329914.101290963,742212.797619048,575933.432687531
8,327131.748390292,893036.156513125,680791.769955379
10,333722.551928783,908883.399209486,748311.386138614
12,365109.243697479,1053683.45679012,786653.142008907
