threads,throughput0,throughput10,throughput100
1,7309698.5550573,6599019.92031873,4738585.86361374
4,13832106.4356436,9371722.13967311,2629131.61801089
6,29384541.769649,13362224.0356083,3019437.96342066
8,19404410.0790514,16056500.7414731,3487805.83003953
10,27344682.3354775,17000059.2007893,5597583.7037037
12,22770646.0701928,15664348.1262327,4883986.19329389
