throughput,threads,uratio,lsize
100477.38446411013,1,25,1000
17622.7634194831,1,25,10000
4351413.300492612,2,25,100
220462.86276438762,2,25,1000
21831.10450718177,2,25,10000
4504816.046966732,3,25,100
207475.54479418887,3,25,1000
22049.5386109762,3,25,10000
5499741.584158416,4,25,100
254052.07328833174,4,25,1000
25309.373482272946,4,25,10000
5042296.314258003,5,25,100
277044.6735395189,5,25,1000
25688.015526443476,5,25,10000
5579334.469328141,6,25,100
284589.3909626719,6,25,1000
25575.30266343826,6,25,10000
5586181.255946718,7,25,100
260252.39005736136,7,25,1000
25219.452590420333,7,25,10000
5070006.692160612,8,25,100
278556.3073948768,8,25,1000
25950.146627565984,8,25,10000
5277047.008547009,9,25,100
290505.2430886559,9,25,1000
25622.873345935728,9,25,10000
5047302.220394737,10,25,100
286403.04907098616,10,25,1000
25623.414634146342,10,25,10000
5563502.655721873,11,25,100
291932.0718098011,11,25,1000
25126.15684364345,11,25,10000
5445718.380345769,12,25,100
277356.77926885703,12,25,1000
25695.30516431925,12,25,10000
1437982.5157843612,1,50,100
90152.18458517428,1,50,1000
11345.964566929133,1,50,10000
3844800.098231827,2,50,100
307875.8654797231,2,50,1000
17264.720435428007,2,50,10000
4719265.910212136,3,50,100
305285.99605522683,3,50,1000
22499.506903353056,3,50,10000
4590423.861171367,4,50,100
276791.9528949951,4,50,1000
23588.725490196077,4,50,10000
5146526.759167493,5,50,100
286093.4442270059,5,50,1000
24734.344422700586,5,50,10000
4539065.29209622,6,50,100
325727.53763963084,6,50,1000
24994.120529152377,6,50,10000
4847696.029210406,7,50,100
331747.57751937985,7,50,1000
24815.676959619952,7,50,10000
4724969.986357436,8,50,100
290606.9167072577,8,50,1000
24799.709020368577,8,50,10000
4299089.840470193,9,50,100
328367.7545056016,9,50,1000
24620.320855614973,9,50,10000
4887196.991751577,10,50,100
325038.4061449832,10,50,1000
25485.143692157817,10,50,10000
4312664.276676508,11,50,100
315678.79670063074,11,50,1000
25578.670492587276,11,50,10000
4608684.043517679,12,50,100
305806.5290446471,12,50,1000
25177.84117926771,12,50,10000
2644837.186424004,1,75,100
184483.30058939097,1,75,1000
18673.539518900343,1,75,10000
3852519.9802664034,2,75,100
231965.92592592593,2,75,1000
15926.449098879688,2,75,10000
4036074.058219178,3,75,100
363037.4199901526,3,75,1000
15500.73349633252,3,75,10000
4517321.81638697,4,75,100
319660.6268364349,4,75,1000
21999.515269025687,4,75,10000
3845651.1240632804,5,75,100
287778.6845895343,5,75,1000
25448.830409356724,5,75,10000
4554681.818181818,6,75,100
334423.3009708738,6,75,1000
24908.50959173635,6,75,10000
4487652.385589095,7,75,100
300776.04903347476,7,75,1000
25141.136801541426,7,75,10000
4582140.058765916,8,75,100
332578.9224952741,8,75,1000
25382.775119617225,8,75,10000
4169778.3433595556,9,75,100
355321.3242453749,9,75,1000
25539.99030538051,9,75,10000
3748918.8240456344,10,75,100
348433.2697807436,10,75,1000
25414.939759036144,10,75,10000
3245571.2080277884,11,75,100
356754.4881125667,11,75,1000
23995.215311004788,11,75,10000
4366873.387482083,12,75,100
361187.2015281758,12,75,1000
25521.04018912529,12,75,10000
2102565.601965602,1,100,100
157488.95434462445,1,100,1000
8779.852579852579,1,100,10000
3727522.872602066,2,100,100
263759.35039370076,2,100,1000
17310.378750614855,2,100,10000
3800506.040892193,3,100,100
327395.55555555556,3,100,1000
26498.02761341223,3,100,10000
4984811.729916215,4,100,100
395272.9064039409,4,100,1000
23009.26829268293,4,100,10000
4833782.843137255,5,100,100
321476.7042667974,5,100,1000
26076.467686235814,5,100,10000
4794892.224409449,6,100,100
366886.2745098039,6,100,1000
24270.680372001956,6,100,10000
4582833.576642335,7,100,100
342911.0354885756,7,100,1000
25618.58664085189,7,100,10000
4108447.5728155337,8,100,100
354416.9508037019,8,100,1000
25308.872901678656,8,100,10000
4763032.384690874,9,100,100
391730.91787439614,9,100,1000
25622.64150943396,9,100,10000
4333116.984826236,10,100,100
388310.7454017425,10,100,1000
24718.887262079064,10,100,10000
4650479.587048335,11,100,100
385827.0425226947,11,100,1000
24490.250696378833,11,100,10000
4656281.669865643,12,100,100
371831.032841504,12,100,1000
25016.2037037037,12,100,10000
592031.9881889764,1,0,100
92013.3795837463,1,0,1000
7806.818181818182,1,0,10000
139671.20622568094,2,0,100
15855.745721271394,2,0,1000
1946.1576113558492,2,0,10000
92015.75578532742,3,0,100
9886.051080550098,3,0,1000
1037.6993716771387,3,0,10000
66443.7984496124,4,0,100
5802.235179786201,4,0,1000
354.1969917515769,4,0,10000
5239.866475917978,5,0,100
387.5968992248062,5,0,1000
375.18177411536595,5,0,10000
11050.359712230216,6,0,100
295.2243125904486,6,0,1000
324.5098039215686,6,0,10000
8628.748215135649,7,0,100
607.2463768115942,7,0,1000
229.5081967213115,7,0,10000
7940.516821062895,8,0,100
343.39277549154093,8,0,1000
203.93474088291745,8,0,10000
15353.219696969696,9,0,100
619.7313571097731,9,0,1000
297.4261201143947,9,0,10000
10615.125240847783,10,0,100
708.909004287756,10,0,1000
305.33642691415315,10,0,10000
13120.93023255814,11,0,100
448.4877126654064,11,0,1000
251.79168657429528,11,0,10000
8595.29411764706,12,0,100
489.120151371807,12,0,1000
214.7268408551069,12,0,10000
413205.53359683795,1,10,100
72173.07692307692,1,10,1000
7121.80746561886,1,10,10000
87710.83172147002,2,10,100
24343.765281173593,2,10,1000
1550.7389162561578,2,10,10000
82498.77870053737,3,10,100
8266.1800486618,3,10,1000
1240.8402540302882,3,10,10000
10735.648818137965,4,10,100
5610.014443909485,4,10,1000
221.53406383992376,4,10,10000
20431.241015812167,5,10,100
4470.702179176756,5,10,1000
305.1916545366327,5,10,10000
11890.699904122725,6,10,100
431.7738791423002,6,10,1000
289.13355672570606,6,10,10000
6601.316408086507,7,10,100
549.3942218080149,7,10,1000
439.2702832453192,7,10,10000
14393.333333333332,8,10,100
581.3397129186603,8,10,1000
290.8309455587393,8,10,10000
10613.36405529954,9,10,100
300.4172461752434,9,10,1000
252.59678942398492,9,10,10000
11241.131351869608,10,10,100
516.5289256198347,10,10,1000
263.9545884578997,10,10,10000
6941.204588910134,11,10,100
549.7896213183732,11,10,1000
240.65420560747663,11,10,10000
18579.566854990582,12,10,100
316.6819431714024,12,10,1000
255.22648083623696,12,10,10000
605086.8706811452,1,25,100
67649.5810744209,1,25,1000
7479.546574667324,1,25,10000
85973.98134511538,2,25,100
16030.303030303032,2,25,1000
1795.376291195278,2,25,10000
135089.12830558277,3,25,100
2000.4899559039686,3,25,1000
1089.5669291338581,3,25,10000
46191.35502671199,4,25,100
2275.52515876893,4,25,1000
601.3513513513514,4,25,10000
39559.7667638484,5,25,100
740.9725565719789,5,25,1000
239.13043478260872,5,25,10000
23952.101661779085,6,25,100
452.0872865275142,6,25,1000
367.57013789824055,6,25,10000
4035.731076633757,7,25,100
419.6471149260849,7,25,1000
297.7283711938134,7,25,10000
6092.009685230024,8,25,100
425.4911356013416,8,25,1000
236.39774859287053,8,25,10000
11138.47628174413,9,25,100
346.6299862448418,9,25,1000
246.54926225606854,9,25,10000
17446.79826673086,10,25,100
365.35796766743647,10,25,1000
218.37488457987072,10,25,10000
16628.784350256174,11,25,100
443.0856067732832,11,25,1000
157.82250686184813,11,25,10000
8097.021660649819,12,25,100
218.39601268690532,12,25,1000
262.9576795054684,12,25,10000
436244.82758620696,1,50,100
44724.08687068115,1,50,1000
5656.620553359684,1,50,10000
73122.16320618059,2,50,100
5393.880524526468,2,50,1000
910.6090373280942,2,50,10000
27322.39098481137,3,50,100
2311.8644067796613,3,50,1000
414.5176695319962,3,50,10000
27189.830508474577,4,50,100
6965.348950707663,4,50,1000
318.35564053537286,4,50,10000
22563.318777292578,5,50,100
4542.703757930698,5,50,1000
241.95121951219514,5,50,10000
14508.133971291867,6,50,100
968.3604985618409,6,50,1000
231.98090692124103,6,50,10000
23478.384798099763,7,50,100
381.1138014527845,7,50,1000
351.4285714285714,7,50,10000
16093.946731234868,8,50,100
337.7798951881848,8,50,1000
329.49640287769785,8,50,10000
8059.266227657573,9,50,100
437.27272727272725,9,50,1000
236.36363636363637,9,50,10000
5881.932021466904,10,50,100
227.81774580335733,10,50,1000
180.36529680365297,10,50,10000
7122.838137472284,11,50,100
331.9386331938633,11,50,1000
224.61394478240524,11,50,10000
