throughput,threads,uratio,lsize
3797346.19140625,3,25,100
292169.10331384017,3,25,1000
25559.362934362933,3,25,10000
3661948.8054607506,4,25,100
401741.22807017545,4,25,1000
36242.995169082125,4,25,10000
3783635.214446953,5,25,100
415415.79448144627,5,25,1000
37844.09907722195,5,25,10000
3738247.727272727,6,25,100
330105.31309297914,6,25,1000
46772.463768115944,6,25,10000
3330271.635610766,7,25,100
422141.70616113744,7,25,1000
59604.47405997144,7,25,10000
3688665.858389913,8,25,100
582190.2931283037,8,25,1000
58441.093308199816,8,25,10000
3543855.416293644,9,25,100
497667.61768901563,9,25,1000
80685.64705882352,9,25,10000
3361421.3532513184,10,25,100
688726.1509254863,10,25,1000
70736.10462400748,10,25,10000
3633377.291014752,11,25,100
863090.0290416264,11,25,1000
68769.48356807513,11,25,10000
3954768.870135959,12,25,100
723953.8239538239,12,25,1000
131406.40155189138,12,25,10000
1511724.2394504417,1,50,100
98950.98039215687,1,50,1000
7312.805474095798,1,50,10000
2944033.5802469137,2,50,100
183422.11302211302,2,50,1000
30054.73372781065,2,50,10000
3162050.4451038577,3,50,100
367815.41482572415,3,50,1000
38616.06702809266,3,50,10000
3637793.7894226103,4,50,100
421843.93346379645,4,50,1000
42207.67716535433,4,50,10000
3150345.454545454,5,50,100
434429.54656265234,5,50,1000
70486.06356968216,5,50,10000
3784146.341463415,6,50,100
632038.2352941176,6,50,1000
44008.6663456909,6,50,10000
3459135.7904946655,7,50,100
796567.0350792888,7,50,1000
72298.4496124031,7,50,10000
2992598.13999021,8,50,100
744816.0194174757,8,50,1000
87094.70616804273,8,50,10000
3962699.273607748,9,50,100
756564.8818137965,9,50,1000
82088.4744141559,9,50,10000
3085510.8593012276,10,50,100
465523.61111111107,10,50,1000
81662.55924170617,10,50,10000
3088266.60203587,11,50,100
689861.1111111111,11,50,1000
84622.21167536781,11,50,10000
3983694.602272727,12,50,100
632281.3852813853,12,50,1000
75880.6112702961,12,50,10000
2348671.4285714286,1,75,100
192724.05312346286,1,75,1000
14209.19881305638,1,75,10000
2684223.968565815,2,75,100
252922.43083003952,2,75,1000
19107.988165680472,2,75,10000
2864464.055528012,3,75,100
304526.36671504594,3,75,1000
26362.135922330097,3,75,10000
2975208.3743842365,4,75,100
203241.05011933172,4,75,1000
45375.73673870334,4,75,10000
3027187.530443254,5,75,100
432724.93946731236,5,75,1000
41713.37890625,5,75,10000
2742615.1972722844,6,75,100
444393.75,6,75,1000
51688.16682832202,6,75,10000
3108737.530266344,7,75,100
364609.4276094276,7,75,1000
59555.232558139534,7,75,10000
2645479.4721407625,8,75,100
385171.1204875762,8,75,1000
79906.84410646388,8,75,10000
2764532.492725509,9,75,100
503078.2851817335,9,75,1000
58661.19691119691,9,75,10000
2775213.559322034,10,75,100
606487.8397711016,10,75,1000
64504.80769230769,10,75,10000
2489595.2602230483,11,75,100
656788.5874649205,11,75,1000
71687.5,11,75,10000
2899688.4301488237,12,75,100
677370.4588910134,12,75,1000
75203.80047505938,12,75,10000
1935048.8406512085,1,100,100
146167.65285996054,1,100,1000
11999.508357915438,1,100,10000
2035959.3933463795,2,100,100
203052.6057030482,2,100,1000
19897.68814559764,2,100,10000
1837169.7089294523,3,100,100
259356.19794218522,3,100,1000
28967.428293631503,3,100,10000
2233618.208516887,4,100,100
303534.9182763744,4,100,1000
34465.43330087634,4,100,10000
2423031.4033366046,5,100,100
319124.7553816047,5,100,1000
35206.52703360935,5,100,10000
2698062.1442125235,6,100,100
390548.5294117647,6,100,1000
38074.94033412888,6,100,10000
2684577.9727095515,7,100,100
384704.29329474195,7,100,1000
51727.05314009662,7,100,10000
2231152.9922779924,8,100,100
457399.71000483324,8,100,1000
51278.64954826438,8,100,10000
1474071.2988192553,9,100,100
422044.8960302457,9,100,1000
46646.782527007985,9,100,10000
3991736.0308285165,10,100,100
513258.5034013606,10,100,1000
55755.32900834106,10,100,10000
3145802.898550725,11,100,100
421744.4705882353,11,100,1000
53872.410546139356,11,100,10000
2146451.294117647,12,100,100
498263.5730858469,12,100,1000
57439.67954759661,12,100,10000
