throughput,threads,uratio,lsize,,0,10,25,50,75,100
6941.20458891013,11,10,100,,#N/A,6941.20458891013,#N/A,#N/A,#N/A,#N/A
549.789621318373,11,10,1000,,#N/A,549.789621318373,#N/A,#N/A,#N/A,#N/A
240.654205607477,11,10,10000,,#N/A,240.654205607477,#N/A,#N/A,#N/A,#N/A
18579.5668549906,12,10,100,,#N/A,18579.5668549906,#N/A,#N/A,#N/A,#N/A
316.681943171402,12,10,1000,,#N/A,316.681943171402,#N/A,#N/A,#N/A,#N/A
255.226480836237,12,10,10000,,#N/A,255.226480836237,#N/A,#N/A,#N/A,#N/A
605086.870681145,1,25,100,,#N/A,#N/A,605086.870681145,#N/A,#N/A,#N/A
67649.5810744209,1,25,1000,,#N/A,#N/A,67649.5810744209,#N/A,#N/A,#N/A
7479.54657466732,1,25,10000,,#N/A,#N/A,7479.54657466732,#N/A,#N/A,#N/A
85973.9813451154,2,25,100,,#N/A,#N/A,85973.9813451154,#N/A,#N/A,#N/A
16030.303030303,2,25,1000,,#N/A,#N/A,16030.303030303,#N/A,#N/A,#N/A
1795.37629119528,2,25,10000,,#N/A,#N/A,1795.37629119528,#N/A,#N/A,#N/A
135089.128305583,3,25,100,,#N/A,#N/A,135089.128305583,#N/A,#N/A,#N/A
2000.48995590397,3,25,1000,,#N/A,#N/A,2000.48995590397,#N/A,#N/A,#N/A
1089.56692913386,3,25,10000,,#N/A,#N/A,1089.56692913386,#N/A,#N/A,#N/A
46191.355026712,4,25,100,,#N/A,#N/A,46191.355026712,#N/A,#N/A,#N/A
2275.52515876893,4,25,1000,,#N/A,#N/A,2275.52515876893,#N/A,#N/A,#N/A
601.351351351351,4,25,10000,,#N/A,#N/A,601.351351351351,#N/A,#N/A,#N/A
39559.7667638484,5,25,100,,#N/A,#N/A,39559.7667638484,#N/A,#N/A,#N/A
740.972556571979,5,25,1000,,#N/A,#N/A,740.972556571979,#N/A,#N/A,#N/A
239.130434782609,5,25,10000,,#N/A,#N/A,239.130434782609,#N/A,#N/A,#N/A
23952.1016617791,6,25,100,,#N/A,#N/A,23952.1016617791,#N/A,#N/A,#N/A
452.087286527514,6,25,1000,,#N/A,#N/A,452.087286527514,#N/A,#N/A,#N/A
367.570137898241,6,25,10000,,#N/A,#N/A,367.570137898241,#N/A,#N/A,#N/A
4035.73107663376,7,25,100,,#N/A,#N/A,4035.73107663376,#N/A,#N/A,#N/A
419.647114926085,7,25,1000,,#N/A,#N/A,419.647114926085,#N/A,#N/A,#N/A
297.728371193813,7,25,10000,,#N/A,#N/A,297.728371193813,#N/A,#N/A,#N/A
6092.00968523002,8,25,100,,#N/A,#N/A,6092.00968523002,#N/A,#N/A,#N/A
425.491135601342,8,25,1000,,#N/A,#N/A,425.491135601342,#N/A,#N/A,#N/A
