threads,throughput100,throughput1000,throughput10k
1,1627471.08673978,168308.728179551,17304.5862412762
4,566236.200895077,87561.5690168818,8791.17063492063
6,742212.797619048,135538.423401091,12709.9652949926
8,893036.156513125,179523.290386521,15984.6534653465
10,908883.399209486,211516.815034619,19822.628458498
12,1053683.45679012,286546.983184965,25485.9120118636
