threads,throughput100,throughput1000,throughput10k
1,6599019.92031873,319820.538384845,29049.850448654
4,9371722.13967311,1129338.30104322,109875.310481868
6,13362224.0356083,978131.479736098,160962.797619048
8,16056500.7414731,1148994.56253089,205228.599703117
10,17000059.2007893,1657661.38613861,247393.086419753
12,15664348.1262327,3143806.72268908,287072.700296736
