threads,throughput100,throughput1000,throughput10k
1,7326008.47457627,338481.555333998,33714.8554336989
4,3262630.84577114,206095.52238806,18308.6112493778
6,1049227.18253968,81194.4444444444,16506.7130780706
8,1000020.28698664,79604.6511627907,16303.5714285714
10,997120.672601385,76017.8129638793,15553.2969757065
12,940704.197530864,76734.6837944664,15055.0322260783
